,cohort,cohort_yr4_TF,no_donors,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,count_yr0,count_yr1,count_yr2,count_yr3,count_yr4,lapsed_after_first_long,lapsed_after_second,lapsed_multi_year,lapsed_long_multi_year,lapsed_key_multi_year,lapsed_long,cohort_0_first_gift,cohort_1_lapsed_after_first,cohort_1_second_year,cohort_2_lapsed_after_first_long,cohort_2_lapsed_after_second,cohort_2_multi_year,cohort_2_second_with_gap,cohort_3_first_gift,cohort_3_inconsistent_multi_year,cohort_3_key_multi_year,cohort_3_lapsed_after_second,cohort_3_lapsed_long,cohort_3_lapsed_multi_year,cohort_4_first_gift,cohort_4_inconsistent_multi_year,cohort_4_key_multi_year,cohort_4_lapsed_after_first,cohort_4_lapsed_key_multi_year,cohort_4_lapsed_long,cohort_4_lapsed_long_multi_year,cohort_4_lapsed_multi_year,cohort_4_multi_year,cohort_4_recovered_multi_year,cohort_4_second_year,cohort_5_first_gift,cohort_5_inconsistent_multi_year,cohort_5_key_multi_year,cohort_5_lapsed_after_first,cohort_5_lapsed_after_first_long,cohort_5_lapsed_after_second,cohort_5_lapsed_key_multi_year,cohort_5_lapsed_long,cohort_5_lapsed_long_key_multi_year,cohort_5_lapsed_long_multi_year,cohort_5_lapsed_multi_year,cohort_5_multi_year,cohort_5_recovered_key_multi_year,cohort_5_recovered_multi_year,cohort_5_second_with_gap,cohort_5_second_year,cohort_6_first_gift,cohort_6_key_multi_year,cohort_6_lapsed_after_first,cohort_6_lapsed_after_first_long,cohort_6_lapsed_after_second,cohort_6_lapsed_key_multi_year,cohort_6_lapsed_long,cohort_6_lapsed_long_key_multi_year,cohort_6_lapsed_long_multi_year,cohort_6_multi_year,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_total,count_total,neg_yr
25,2013,TTTTT,9878,5209667.21,7600274.21,7764373.84,7927532.12,8169985.55,106045,151064,115174,108187,113502,0,0,0,0,4766,0,9878,0,9878,0,0,9878,0,0,0,9878,0,0,0,0,0,9878,0,0,0,0,0,0,0,0,0,0,5112,0,0,0,4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386847.59,2333730.66,2167155.2,2384702.55,0.0,996240.59,2169631.03,2003996.92,2142249.12,36671832.93,593972,1
26,2014,T,-246098,-16981113.18,-0.0,-0.0,-0.0,-0.0,-299265,0,0,0,0,0,0,0,0,0,-246098,-246098,-246098,0,-246098,0,0,0,0,0,0,0,-246098,0,0,0,0,0,0,-246098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-16981113.18,-299265,-1
27,2014,TFFFT,1902,160859.77,0.0,0.0,0.0,158731.79,2760,0,0,0,2592,0,0,0,0,0,0,1902,1902,0,1902,0,0,0,0,0,0,0,1902,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160859.77,2760,1
28,2014,TFFT,-7307,-629120.57,-0.0,-0.0,-681313.05,-0.0,-10523,0,0,-10671,0,0,0,0,0,0,0,-7307,-7307,0,-7307,0,0,0,-7307,0,0,0,0,0,0,0,0,-7307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1310433.62,-21194,-1
29,2014,TFFTT,913,102649.51,0.0,0.0,172007.22,119255.53,1504,0,0,2683,1968,0,0,0,0,0,0,913,913,0,913,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39165.29,0.0,0.0,0.0,0.0,91916.98,274656.73,4187,1
30,2014,TFT,-11268,-990621.21,-0.0,-983826.66,-0.0,-0.0,-16513,0,-14960,0,0,0,0,0,0,0,-11268,-11268,-11268,0,0,0,0,-11268,0,0,0,-11268,0,0,0,0,0,0,0,-11268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1974447.87,-31473,-1
31,2014,TFTFT,582,65597.0,0.0,76021.53,0.0,60325.99,1020,0,943,0,813,0,0,0,0,0,0,582,582,0,0,0,0,582,0,0,0,582,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141618.53,1963,1
32,2014,TFTT,-3099,-334480.1,-0.0,-461363.33,-443525.84,-0.0,-5281,0,-5912,-6084,0,0,0,-3099,0,0,0,-3099,-3099,0,0,0,0,-3099,0,-3099,0,0,0,0,0,0,0,0,0,0,0,-3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-179798.97,-0.0,-0.0,-0.0,-0.0,-197636.46,-0.0,-1239369.27,-17277,-1
33,2014,TFTTT,837,120259.98,0.0,199175.58,309941.44,152550.39,1997,0,2729,4404,2092,0,0,0,0,0,0,837,837,0,0,0,0,837,0,837,0,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166840.42,31981.83,0.0,0.0,0.0,56074.56,189372.88,629377.0,9130,1
34,2014,TT,-27958,-2947567.37,-2777388.48,-0.0,-0.0,-0.0,-51345,-44755,0,0,0,0,0,0,0,0,-27958,-27958,0,-27958,0,-27958,0,0,0,0,0,0,-27958,0,0,0,0,0,0,-27958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1134695.82,-0.0,-0.0,-0.0,-0.0,-1304874.71,-0.0,-0.0,-0.0,-5724955.85,-96100,-1
